1;309368.436
31;196181.436
61;264113.436
91;266427.436
122;287017.436
152;264463.436
182;330703.436
213;328907.436
243;397233.436
273;396340.436
303;398501.436
334;458778.436
364;468993.436
394;463079.436
425;524414.436
455;525842.436
485;580611.436
515;594858.436
546;644433.436
576;651473.436
606;642372.436
637;716155.436
667;711375.436
697;716488.436
728;773411.436
758;775762.436
788;837460.436
818;837442.436
849;833226.436
879;894137.436
909;903996.436
940;958322.436
970;960532.436
1000;963688.436
1030;1027498.436
1061;1020008.436
1091;1077774.436
1121;1100513.436
1152;1084630.436
1182;1153977.436
1212;1138857.436
1243;1205460.436
1273;1219061.436
1303;1213966.436
1333;1267867.436
1364;1282537.436
1394;1310070.436
1424;1358008.436
1455;1341602.436
1485;1417110.436
1515;1399669.436
1545;1462998.436
1576;1452482.436
1606;1475565.436
1636;1506482.436
1667;1514328.436
1697;1578100.436
1727;1604156.436
1757;1639048.436
1788;1655867.436
1818;1630809.436
1848;1693116.436
1879;1705627.436
1909;1707848.436
1939;1750131.436
1970;1805805.436
2000;1817331.436
2030;1817251.436
2060;1869516.436
2091;1886415.436
2121;1870697.436
2151;1944704.436
2182;1941473.436
2212;1990267.436
2242;2024482.436
2272;1995429.436
2303;2043719.436
2333;2074230.436
2363;2130630.436
2394;2218789.436
2424;2130273.436
2454;2179177.436
2485;2177399.436
2515;2244605.436
2545;2233855.436
2575;2252593.436
2606;2303786.436
2636;2293540.436
2666;2355922.436
2697;2353602.436
2727;2411983.436
2757;2421713.436
2787;2476058.436
2818;2493546.436
2848;2513362.436
2878;2537897.436
2909;2566402.436
2939;2543689.436
2969;2611516.436
3000;2595559.436
